Source,Target,Type,id,weight
GSCHOLSEARCH,SCHOLARCIT,Undirected,112,10086.0
GSCHOLSEARCH,RGATEPROF,Undirected,113,10267.0
GSCHOLSEARCH,ORCID,Undirected,114,5303.0
GSCHOLSEARCH,ACADEMIA,Undirected,115,5170.0
GSCHOLSEARCH,RESID,Undirected,116,2315.0
GSCHOLSEARCH,INSTPAGE,Undirected,117,4491.0
GSCHOLSEARCH,MYSCIWORK,Undirected,118,120.0
GSCHOLSEARCH,RESPROFOTHCL,Undirected,119,1114.0
GSCHOLSEARCH,PERRSCI,Undirected,120,659.0
GSCHOLSEARCH,PUBLONS,Undirected,121,574.0
GSCHOLSEARCH,PMCCOMMONS,Undirected,122,724.0
GSCHOLSEARCH,PUBPEER,Undirected,123,550.0
GSCHOLSEARCH,PAPARCRIT,Undirected,124,304.0
GSCHOLSEARCH,RUBRIQ,Undirected,125,124.0
GSCHOLSEARCH,KARMA,Undirected,126,135.0
GSCHOLSEARCH,PROTHCL,Undirected,127,436.0
GSCHOLSEARCH,JCRIFIMP,Undirected,128,5891.0
GSCHOLSEARCH,ALTMETRIC,Undirected,129,2289.0
GSCHOLSEARCH,SCOPID,Undirected,130,5075.0
GSCHOLSEARCH,IMPSTOR,Undirected,131,533.0
GSCHOLSEARCH,PLOSALM,Undirected,132,1078.0
GSCHOLSEARCH,WOSIMP,Undirected,133,6006.0
GSCHOLSEARCH,HARZPOP,Undirected,134,578.0
GSCHOLSEARCH,IMPACTOTHCL,Undirected,135,1199.0
WOSSEARCH,WOSSEARCH,Undirected,137,8469.0
WOSSEARCH,SCOPSEARCH,Undirected,138,3823.0
WOSSEARCH,MENDSEARCH,Undirected,139,1424.0
WOSSEARCH,WORLDCAT,Undirected,140,1019.0
WOSSEARCH,PUBMED,Undirected,141,3764.0
WOSSEARCH,PAPERI,Undirected,142,239.0
WOSSEARCH,SEARCHOTHCL,Undirected,143,2984.0
WOSSEARCH,INSTACC,Undirected,144,7741.0
WOSSEARCH,PAYVIEW,Undirected,145,960.0
WOSSEARCH,RGATEACCESS,Undirected,146,4863.0
WOSSEARCH,RES4LIFE,Undirected,147,120.0
WOSSEARCH,OABUT,Undirected,148,2923.0
WOSSEARCH,DEEPDYVE,Undirected,149,74.0
WOSSEARCH,MAILAUTH,Undirected,150,2829.0
WOSSEARCH,ACCESSOTHCL,Undirected,151,1111.0
WOSSEARCH,GSCHOLALERT,Undirected,152,4214.0
WOSSEARCH,JRNLTOCS,Undirected,153,1655.0
WOSSEARCH,BROWZINE,Undirected,154,225.0
WOSSEARCH,MENDALERT,Undirected,155,737.0
WOSSEARCH,F1000PRI,Undirected,156,192.0
WOSSEARCH,SPARRHO,Undirected,157,49.0
WOSSEARCH,RGATEALERT,Undirected,158,3944.0
WOSSEARCH,ALERTOTHCL,Undirected,159,1915.0
WOSSEARCH,ACROBAT,Undirected,160,7701.0
WOSSEARCH,HTMLVIEW,Undirected,161,3635.0
WOSSEARCH,IANNOTATE,Undirected,162,244.0
WOSSEARCH,READCUBE,Undirected,163,701.0
